Raga,Tonic,Filename,Link,Instrument,Gender,Artist,Channel,Bandish,Start time,End time,Notes
Bilaskhani Todi,C#,Bilaskhani Todi_8,,Vocal,M,Ajoy Chakraborti,CompMusic DB,,,,
Bilaskhani Todi,C#,Bilaskhani Todi_9,,Vocal,M,Ajoy Chakraborti,CompMusic DB,,,,
Bilaskhani Todi,A,Bilaskhani Todi_10,,Vocal,F,Girija Devi,CompMusic DB,,,,
Bilawal,C#,Bilawal_1,https://youtu.be/ZYQITiocNfk?si=kQ2M2GQciy3KVVuJ,Vocal,M,Ajoy Chakraborti,,,,,
Bilawal,C#,Bilawal_2,https://youtu.be/oTg3QBVYFSc?si=C4yWmmafrmuJD9G9,Vocal,M,Bhimsen Joshi,,,,,
Bilawal,D,Bilawal_3,https://youtu.be/Pk8odDzE-Ps?si=_7dQkUGxcOg3H4An,Esraj,F,Pamalka Manjitha Karunanayake,,,,,
Bilawal,E,Bilawal_4,https://youtu.be/1UHjnQRMvIE?si=1iTxJM6Q5C76HnIZ,Vocal,M,Vasantrao Deshpande,,,,,
Bilawal,E,Bilawal_5,https://youtu.be/wH3rLKhhw30?si=ITxaWFwbNc2Yy0Er,Flute,M,Bhola Nath Prasanna,,,,,
Bilawal,A#,Bilawal_6,https://youtu.be/g2fHVAOtUdg?si=17AyqKRnxU10mDNr,Vocal,M,Nusrat Fateh Ali Khan,,,,,
Champakali,D#,Champakali_1,https://youtu.be/f5nqGiNuTIk?si=aBgbSjbTMzvvM-q_,Vocal,M,Rajan Sajan Mishra,Komal Nishad,,,,
Champakali,D#,Champakali_2,https://youtu.be/ZQcGxPrTGgY?si=HZTjZ2i2DR09WRhd,Sarangi,F,Zohaib Ali,,,,,
Champakali,D#,Champakali_3,https://youtu.be/7An8yztP95Y?si=Hx8xtKj2XJ0MiYNs,Sarod,M,Akbar Ali khan,,,,,
Champakali,D,Champakali_4,Champakali (Live) | Anirudh Varma Collective feat. Saptak Chatterjee | Suyash Gabriel | Kavya Singh ,Vocal,M,Anirudh Verma Collective,,,,,
Champakali,D,Champakali_5,https://youtu.be/qrbD9q49n0c?si=IfENTuiNFGUb331t,Sarangi,M,Momin Khan,,,,,
Champakali,D,Champakali_6,https://youtu.be/wshs9Mqq9Eo?si=m6IpUpStKbESFr-T,Vocal,M,Fareed Hassan,Bazm E Khas,,,,
Champakali,A#,Champakali_7,https://youtu.be/htv0idteKnQ?si=ILtAkeP4zg_L8jDy,Vocal,F,Ashwini Bhide,,,,,
Champakali,D,Champakali_8,Pandit Jagdish Prasad (vocal) - Raga Vachaspati ,Vocal,M,Jagdish Prasad,,,,,
Champakali,A#,Champakali_9,https://youtu.be/JUvXCpZW-o4?si=11Ata7NDQuWq-hE1,Vocal,F,Ashwini Bhide,,,,,
Champakali,D,Champakali_10,https://youtu.be/TQ5Hm0M62yA?si=Np0s2-_aQGusA0Cy,"Flute, Sitar",M,"Kushal Das, Shashank Subramanyam",,,,,
Chandrakauns,G#,Chandrakauns_1,https://youtu.be/kZTC4eB-DKU?si=nBeykx8ZK3ZWjz5i,Vocal,F,Ranjani and Gayatri,Darbar,,,,
Chandrakauns,G#,Chandrakauns_2,https://youtu.be/PfiEPZE9w7M?si=WSHeU5cwpy6jkAhj,Rudra Veena,F,Jyoti Hegde,Darbar,,,,
Chandrakauns,C#,Chandrakauns_3,https://youtu.be/eIlzQPm5PYQ?si=sItHKxkxE5ln9GYU,Sitar,F,Roopa Panesar,Darbar,,,,
Chandrakauns,C#,Chandrakauns_4,https://youtu.be/g22BWgZ2cCE?si=F_dzgaXbaOEp63Lp,Vocal,M,Sanjeev Abhyankar,,,,,
Chandrakauns,D,Chandrakauns_5,https://youtu.be/C-l-BZMlYJA?si=_XYCTVlroeTPF9Sz,Vocal,M,Rashid Khan,,,,,
Chandrakauns,F#,Chandrakauns_6,https://youtu.be/WHmB9UK6D_w?si=Pcr4igIkAFbH0dGD,Vocal,M,Kumar Gandharv,,,,,
Chandrakauns,F,Chandrakauns_7,https://youtu.be/j2vYHWssJHQ?si=jITN6d-TnDgivOmS,Flute,M,Hariprasad Chaurasia,,,,,probably 432
Chandrakauns,A#,Chandrakauns_8,https://youtu.be/yLa9Y1zECdw?si=lA9hQTDuF2ep9M17,Vocal,F,Ashwini Bhide,,,,,
Chandrakauns,B,Chandrakauns_9,https://youtu.be/YhSl69_G5Ws?si=InKmhDJ3T1pzoxlz,Vocal,F,Manali Bose,1001 Bandishes,,,,
Chandrakauns,D,Chandrakauns_10,https://youtu.be/c_KWyF1E41s?si=kiCyHmqblfqbtt9c,Mohan Veena,M,Vishwamohan Bhatt,,,,,
Chandrakauns,D#,Chandrakauns_11,https://youtu.be/djv4bJH8250?si=Sz2zEcBrNrmsyM2i,Vocal,M,Prabhakar Karekar,,,,,
Chandrakauns,F,Chandrakauns_12,https://youtu.be/QsvBJ914reg?si=_foCWI57VkSmri-u,Multiple,M,Jaubi,,,,,
Chandrakauns,B,Chandrakauns_13,https://youtu.be/BZTwmLoKZ2U?si=MlueF8nfgp1NXgu5,Vocal,M,Sayeeduddin Dagar,,,,,
Chandrakauns,G,Chandrakauns_14,https://youtu.be/vPib32E1fXs?si=OnY4zKnAMNVjyKUx,Rudra Veena,F,Madhuvanti Pal,,,,,
Chandrakauns,D,Chandrakauns_15,https://youtu.be/xRy5_iJIYZo?si=J4_9DNQN3kNM6IM7,Vocal,M,Shantanu Bhattacharyya,,,,,
Chandranandan,A#,Chandranandan_1,https://youtu.be/2UeSDbLyKU4?si=efvy9GoZbKq_s1ja,Sarod,M,Abhishek Borkar,,,,,
Chandranandan,C,Chandranandan_2,https://youtu.be/QNV0No4U96c?si=CNjVziy-2a9FDxJD,Sarod,M,Alam Khan,,,,,
Chandranandan,D,Chandranandan_3,https://youtu.be/Csnd2DXsJL4?si=6Y-0XILswaHd0P_5,Sitar,M,Purbayan Chatterjee,,,,,
Chandranandan,C,Chandranandan_4,https://youtu.be/Gl3a75jFdeE?si=TaPhethlfFxm5zly,Sarod,M,Ken Zuckerman,,,,,
Chandranandan,C,Chandranandan_5,https://youtu.be/Nn33rsSi8ZA?si=ZmGXXDbRaCSdBn66,Sarod,M,Alam Khan and others,,,,,played with some western musicians
Chandranandan,C,Chandranandan_6,https://youtu.be/mhYIePQDLO4?si=sRCvYqBMbwwkLRVs,Sarod,M,Tejendra Narayan Majumdar,,,0:10,,
Charukeshi,C#,Charukeshi_1,https://youtu.be/A-wVsNjigbY?si=JHpom2T5RqlxeEk-,Sitar,F,Roopa Panesar,Darbar,,,,
Charukeshi,D,Charukeshi_2,https://youtu.be/f0X6kQ5s5Uw?si=ctMfrSY9WbmTKYU2,Vocal,M,Ajoy Chakraborti,,,,,432
Charukeshi,D,Charukeshi_3,https://youtu.be/IBHgJamPOm8?si=bx_GTdyLXAVQNJ12,Vocal,M,Rashid Khan,,,,,
Charukeshi,D,Charukeshi_4,https://youtu.be/X3GbWOegovU?si=qUR7SlET5_IhSOB0,Sitar,M,Shahid Parvez,,,,,
Charukeshi,A#,Charukeshi_5,https://youtu.be/uQamzyf3RwU?si=fDtYvBcuaINyYDcP,Vocal,F,Kaushiki Chakraborti,,,,,
Charukeshi,C#,Charukeshi_6,https://youtu.be/NKzWJG--URg?si=DwQnx0TrLsKWiHMS,"Sitar, Sarod",M,Abhishek Borkar,,,,,
Charukeshi,C#,Charukeshi_7,https://youtu.be/3nb28JVb3-4?si=XynPXMTeXvbjxS8I,Vocal,M,Sanjeev Abhyankar,,,,,
Charukeshi,E,Charukeshi_8,https://youtu.be/HPdg75gadgc?si=wv5i_Mkjm1zXBABj,Flute,M,Ajay Prasanna,,,,,
Charukeshi,E,Charukeshi_9,https://youtu.be/Th8e6xxyg5E?si=QjpwZIEwFbiHLiQh,Sarangi,M,Sultan Khan,,,,,
Charukeshi,D,Charukeshi_10,https://youtu.be/98FLpKeOtNA?si=n-VPUtBc-M9hlx7q,Vocal,M,Rashid Khan,,,,,
Chhayanat,D,Chhayanat_1,https://youtu.be/S_vXFqdaaJQ?si=6w8R_RrI72_qmKzl,Vocal,M,Rashid Khan,,,,,
Chhayanat,D#,Chhayanat_2,https://youtu.be/UKBck_KGjPo?si=SsjpIhrXuotEG88A,Vocal,M,Omkar Dadarkar,HCL Masters,,,,
Chhayanat,C,Chhayanat_3,https://youtu.be/DuzwJ2jI15U?si=KlJ8ZZeTnHr5xaPv,Vocal,F,Malabika Kanan,,,,,
Chhayanat,D#,Chhayanat_4,https://youtu.be/Omp0w2dBQhk?si=ajL5_6OWZZjK_zZp,Vocal,M,Ulhas Kashalkar,,,,,
Chhayanat,E,Chhayanat_5,https://youtu.be/AQlc_HFI6H0?si=PsmsCxpaGqagfgmH,Vocal,M,D V Paluskar,,,,,
Chhayanat,D#,Chhayanat_6,https://youtu.be/S_Bzrk7e6G4?si=nMZxW9cND1YAEVA7,Vocal,M,Omkar Dadarkar,,,,,
Chhayanat,A,Chhayanat_7,https://youtu.be/gPmBuhO1hzI?si=1rbuGdTGnL53YxwV,Vocal,F,Jayshree Patnekar,First Edition Arts,,,,
Chhayanat,E,Chhayanat_8,https://youtu.be/zUPqAx3FG68?si=8VAzRtzYkO8J6Oip,Vocal,M,Vasantrao Deshpande,,,,,
Chhayanat,A,Chhayanat_9,https://youtu.be/JuG7NLLCmos?si=Rli3XfwtqGKAn_2P,Vocal,F,Shubhada Paradkar,,,,,
Darbari Kanada,E,Darbari Kanada_1,,Vocal,M,Jayateerth Mevundi,CompMusic DB,,,,
Darbari Kanada,D#,Darbari Kanada_2,,Vocal,M,Jayateerth Mevundi,CompMusic DB,,,,
Darbari Kanada,C#,Darbari Kanada_3,,Vocal,M,Bade Ghulam Ali Khan,CompMusic DB,,,,
Darbari Kanada,C#,Darbari Kanada_4,,Vocal,M,Ustad Ghulam Mustafa,CompMusic DB,,,,
Darbari Kanada,C#,Darbari Kanada_5,,Vocal,M,Pt. Jasraj,CompMusic DB,,,,
Darbari Kanada,D,Darbari Kanada_6,,Vocal,M,Rashid Khan,CompMusic DB,,,,
Darbari Kanada,D#,Darbari Kanada_7,,Vocal,M,Rashid Khan,CompMusic DB,,,,
Darbari Kanada,D#,Darbari Kanada_8,,Vocal,M,Ulhas Kashalkar,CompMusic DB,,,,
Darbari Kanada,C#,Darbari Kanada_9,,Vocal,M,Ajay Pohankar,CompMusic DB,,,,
Darbari Kanada,D,Darbari Kanada_10,,Vocal,M,Madhup Mudgal,CompMusic DB,,,,
Desh,C#,Desh_1,,Vocal,M,Abdul Rashid Khan,CompMusic DB,,,,
Desh,C,Desh_2,,Vocal,M,Abdul Rashid Khan,CompMusic DB,,,,
Desh,C,Desh_3,,Vocal,M,Abdul Rashid Khan,CompMusic DB,,,,
Desh,C,Desh_4,,Vocal,M,Abdul Rashid Khan,CompMusic DB,,,,
Desh,A#,Desh_5,,Vocal,F,Veena Sahasrabuddhe,CompMusic DB,,,,
Desh,A#,Desh_6,,Vocal,M,Sanjeev Abhyankar,CompMusic DB,,,,
Desh,D,Desh_7,,Vocal,M,Rashid Khan,CompMusic DB,,,,
Desh,D,Desh_8,,Vocal,M,Rashid Khan,CompMusic DB,,,,
Desh,D,Desh_9,,Vocal,M,Rashid Khan,CompMusic DB,,,,
Desh,D#,Desh_10,,Vocal,M,Ulhas Kashalkar,CompMusic DB,,,,
Deshkar,D#,Deshkar_1,https://youtu.be/E8CFmo7tRWA?si=v_Wq7D6pn4Zb_7ni,Vocal,M,Venkatesh Kumar,,,,,
Deshkar,B,Deshkar_2,https://youtu.be/0GZ7UdDiRDU?si=mIy7YM3r-S9Zv164,Vocal,F,Manali Bose,1001 Bandishes,,,,
Deshkar,D,Deshkar_3,https://youtu.be/B2YT_CJEn2k?si=miyiu1JgUsYXjvOs,Vocal,M,Rashid Khan,Komal Nishad,,,,
Deshkar,G#,Deshkar_4,https://youtu.be/TPLnZQfQvWc?si=vMmS_oZkGXbpmrNu,Vocal,F,Apoorva Gokhale,,,,,
Deshkar,C#,Deshkar_5,https://youtu.be/7oQj5Qh5ScU?si=0L1W1k3TqbtZxsFE,Sitar,M,Shahid Parvez,,,,,
Deshkar,B,Deshkar_6,https://youtu.be/6zOPQGJXmZI?si=IWgY2rRgBAq_UGT7,Vocal,F,Manjiri Alegaonkar,,,,,
Deshkar,E,Deshkar_7,https://youtu.be/y17mvudCNA4?si=PPx4basqXFIQAB4R,Vocal,M,Mallikarjun Mansur,,,,,
Deshkar,D,Deshkar_8,https://youtu.be/n58fm2qqYTI?si=RIF1TWn5x3S14BIs,Vocal,M,D V Paluskar,,,,,
Deshkar,D,Deshkar_9,https://youtu.be/vMmsqeCrl38?si=7Q8cT39F-F24ZTkN,Vocal,M,Rashid Khan,,,,,
Deshkar,C#,Deshkar_10,https://www.youtube.com/watch?v=5p2IUDczkrM,Vocal,M,Bhimsen Joshi,,,,,Live at Sawai Gandharva festival
Desi,D#,Desi_1,https://youtu.be/rPy2E9-PRW0?si=2DIh0SM8-fOLtucN,Vocal,M,Venkatesh Kumar,,,,,
Desi,D#,Desi_2,https://youtu.be/a6mTJ4hXjnk?si=PG9h2VdcB64EUeXo,Vocal,M,Ulhas Kashalkar,,,,,
Desi,F,Desi_3,https://youtu.be/k1QEo8fqvic?si=jgG58FO86E_dxVmh,Vocal,M,D V Paluskar,,,,,
Desi,A,Desi_4,https://youtu.be/BdlUztybVro?si=kMTaFDvzmsE-1nfL,Vocal,F,Prabha Atre,,,,,
Desi,D#,Desi_5,https://youtu.be/6Lh1886X_4s?si=dEkzDCrV0IcgkHxR,Vocal,M,Kedar Bodas,,,,,
Desi,E,Desi_6,https://youtu.be/K9ruffturYY?si=ms5DGpG3oyNU38fk,Flute,M,Pannalal Ghosh,,,,,
Desi,A,Desi_7,https://youtu.be/vF1pvk8sNsY?si=wTQhWIoWkObQ0PWM,Vocal,F,Girija Devi,,,,,
Desi,D#,Desi_8,https://youtu.be/0jmUOK-gsRs?si=4qXPDgl7szoSTBul,Vocal,M,Moinuddin and Nasir Aminuddin Dagar,,,,,
Desi,D#,Desi_9,https://youtu.be/BAzm0gT4Yuw?si=8daNIkyViDofBEZ3,Vocal,M,Rajan Sajan Mishra,,,,,
Dev Gandhar,D#,Dev Gandhar_1,https://youtu.be/IEodibJCZbI?si=-HcK6gNkKPSEkLuz,Vocal,M,Jitendra Abhisheki,,,,,
Dev Gandhar,D,Dev Gandhar_2,https://youtu.be/wv3-esnuZzE?si=2TyjDgqwttADx5Tf,Vocal,M,Vinod Digrajkar,,,,,Recording is not great
Dev Gandhar,A#,Dev Gandhar_3,https://youtu.be/Y5j5QVeXHy8?si=3Lwty-xNrSOWLARb,Vocal,F,Sawani Shende,,,1:05,,
Dev Gandhar,B,Dev Gandhar_4,https://youtu.be/tJVHkdYFxmY?si=OBPuy0eO2lvDboUU,Flute,M,Buddhadev Chatterjee ,,,,,
Dev Gandhar,C#,Dev Gandhar_5,https://youtu.be/1gLTeABf5hY?si=bS9BDUhnfEFCd-RF,Vocal,M,L K Pandir,,,,,
Dev Gandhar,A#,Dev Gandhar_6,https://youtu.be/XN2YrhbJRbc?si=QEotu_VOwxukx7Ef,Vocal,F,Girija Devi,,,,,
Dev Gandhar,D,Dev Gandhar_7,https://youtu.be/_PMlV0V_7TI?si=R3h2YC6mwIOgFwIr,Vocal,M,Krishnarao Shankar Pandit,,,,,
Dev Gandhar,D#,Dev Gandhar_8,https://youtu.be/k2M5WTYHKKM?si=WJMiCOcaHHr0ym5v,Vocal,M,Vidhyadhar Vyas,,,,,
Dev Gandhar,D,Dev Gandhar_9,https://youtu.be/fxFbtJDptPU?si=VOCSoNgk-XEchgUJ,Vocal,M,Suresh Bapat,,,,,
Devgiri Bilawal,A,Devgiri Bilawal_1,https://youtu.be/3mVtWjHMADs?si=YLgiQ-A2NvQa2dZ_,Vocal,F,Shashwati Mandal,,,,,
Devgiri Bilawal,G#,Devgiri Bilawal_2,https://youtu.be/4CeGpb2aSsg?si=H2UcdcPuCli_DmYh,Vocal,F,Moumita Mitra,,,,,
Devgiri Bilawal,C#,Devgiri Bilawal_3,https://youtu.be/41BhHSq5-5w?si=EtnAw8qNsHDpn0GA,Vocal,M,Vikas Kashalkar,,,,,
Devgiri Bilawal,B,Devgiri Bilawal_4,https://youtu.be/226Usqahn3Y?si=XmcgQJCmQEuHczow,Vocal,F,Manali Bose,1001 Bandishes,,,,
Devgiri Bilawal,E,Devgiri Bilawal_5,https://youtu.be/LmRUXZAw8l0?si=GamK7TP-RrS57DtO,Violin,M,N Rajam,,,,,
Devgiri Bilawal,G#,Devgiri Bilawal_6,https://youtu.be/jrIYQBqLBGg?si=B9G0uWKD44RfsoqO,Vocal,F,Moumita Mitra,,,,,
Devgiri Bilawal,D,Devgiri Bilawal_7,https://youtu.be/Rz4SFzNgVMI?si=OkVZHecigvfZHEgN,Vocal,M,Sharad Sathe,,,,,
Devgiri Bilawal,D,Devgiri Bilawal_8,https://youtu.be/kc3VHrJdjJ0?si=7tcH0KH_uuq4eruJ,Vocal,F,Ramashreya Jha,,,,,
Devgiri Bilawal,B,Devgiri Bilawal_9,https://youtu.be/4pJKKMYfN00?si=XHSBvqx9R2rYPaA-,Vocal,F,Kishori Amonkar,,,,,
Devgiri Bilawal,C#,Devgiri Bilawal_10,https://youtu.be/tKyyVj6TLG4?si=6tmFerkxYDF61mNZ,Vocal,F,Nivrutti Sarnaik,,,,,Poor recording
Dhanashree,D#,Dhanashree_1,https://youtu.be/PXI675MJoZ8?si=ctdQmHCk04H2YOAm,Vocal,M,Ulhas Kashalkar,First Edition Arts,,,,
Dhanashree,A,Dhanashree_2,https://youtu.be/KY3HWdPASiI?si=mikGl1MgXzWgGcZK,Vocal,F,Shubhada Paradkar,First Edition Arts,,,,
Dhani,A#,Dhani_1,https://youtu.be/PKUO-nqbABg?si=uLVj6vFWIDukUMyf,Vocal,F,Sawani Shende,,,,,
Dhani,D#,Dhani_2,https://youtu.be/tLYfXjPsPq4?si=VtaZ7Uv2Di9Q0UpM,Vocal,M,Rajan Sajan Mishra,,,,,
Dhani,F,Dhani_3,https://youtu.be/Km0WC0ISX20?si=-5VDsnbKBJmgxmq_,Vocal,M,Kumar Gandharv,,,,,
Dhani,A#,Dhani_4,https://youtu.be/05MaWBpkNvE?si=roQEa-Psq9XfPh1r,Vocal,F,Dyuthi & Snigdha Jahagirdar,,,,,Playlist
Dhani,A#,Dhani_5,https://youtu.be/VzoKlWVcGIg?si=ZoZMQbl_gimA1RYR,Vocal,F,Veena Sahasrabuddhe,,,,,
Dhani,D#,Dhani_6,https://youtu.be/wRVar1lhzL8?si=1Oho3ZL6-g_aZpsz,Vocal,M,Jitendra Abhisheki,,,,,
Dhani,D#,Dhani_7,https://youtu.be/MlFkMRnPk_Q?si=h1CPwWQ_vWYYr5u1,Vocal,M,Venkatesh Kumar,,,,,
Dhani,D,Dhani_8,https://youtu.be/VUjQ__gqBJc?si=H4wiHfU2wBXy9vdb,Vocal,M,Srijan Deshpande,,,,,
Dhani,A#,Dhani_9,https://youtu.be/2Z2ALPvXIig?si=7tTwdkacifpWw33V,Vocal,F,Lakshmi Shankar,,,,,
Durga,D#,Durga_1,https://youtu.be/K7H-ptuxlr8?si=P_efCm5kyB74TOuy,Vocal,M,Venkatesh Kumar,,,,,
Durga,D#,Durga_2,https://youtu.be/XfbTpq6cDTk?si=_87VBbQ6KLlQOc4Z,Vocal,M,Venkatesh Kumar,,,,,
Durga,A#,Durga_3,https://youtu.be/3Cj14wrWHqw?si=7wXsmm5YDqlCGkIG,Vocal,F,Kaushiki Chakraborti,,,,,
Durga,C,Durga_4,https://youtu.be/I4FTKvoVWl8?si=hpFkmIvAGRYfx3pf,Vocal,M,Riyaz Daily,,,,,Riyaz channel
Durga,D,Durga_5,https://youtu.be/rTEHQJ5ld6E?si=0TgLTC1-ErN16wt2,Vocal,M,Rashid Khan,,,,,
Durga,D#,Durga_6,https://youtu.be/KzZVMsqhU-o?si=vtFNSNvGAeFv0v07,Vocal,M,Rajan Mishra,,,,,
Durga,D#,Durga_7,https://youtu.be/gR7yqkEzQxI?si=sQ1QnYNwOS9YrGg7,Vocal,M,Bhimsen Joshi,,,,,
Durga,B,Durga_8,https://youtu.be/f1CRp6kCyZQ?si=hzIiS5FdETF7_VF1,Vocal,F,Manali Bose,1001 Bandishes,,,,
Durga,E,Durga_9,https://youtu.be/wvkQweUvkQI?si=NJmSK2jhWstTnQT9,Flute,M,Hariprasad Chaurasia,,,,,
Durga,A#,Durga_10,https://youtu.be/ybqhHmwMADI?si=q1qLNkYm9WpIEcAe,Vocal,F,Anuradha Kuber,,,,,
Gaud Malhar,E,Gaud Malhar_1,,Vocal,M,Mallikarjun Mansur,CompMusic DB,,,,
Gaud Malhar,A#,Gaud Malhar_2,,Vocal,F,Kishori Amonkar,CompMusic DB,,,,
Gaud Malhar,A#,Gaud Malhar_3,,Vocal,F,Kishori Amonkar,CompMusic DB,,,,
Gaud Malhar,A#,Gaud Malhar_4,,Vocal,F,Kishori Amonkar,CompMusic DB,,,,
Gaud Malhar,A#,Gaud Malhar_5,,Vocal,F,Kishori Amonkar,CompMusic DB,,,,
Gaud Malhar,A,Gaud Malhar_6,,Vocal,F,Gauri Pathare,CompMusic DB,,,,
Gaud Malhar,E,Gaud Malhar_7,,Vocal,M,Rajan Sajan Mishra,CompMusic DB,,,,
Gaud Malhar,D,Gaud Malhar_8,,Vocal,M,Satyasheel Deshpande,CompMusic DB,,,,
Gaud Malhar,A,Gaud Malhar_9,,Vocal,F,Malini Rajurkar,CompMusic DB,,,,
Gaud Malhar,D#,Gaud Malhar_10,,Vocal,M,Omkar Dadarkar,CompMusic DB,,,,
Gaud Sarang,E,Gaud Sarang_1,https://youtu.be/20AL-bG4q6Y?si=TGAG12irt0unRsLs,Vocal,M,Bhimsen Joshi,,,,,
Gaud Sarang,E,Gaud Sarang_2,https://youtu.be/9YoXGh1s5KA?si=Fni-OfgM-Mixi9eA,Vocal,M,Siddhartha Belmannu,,,,,
Gaud Sarang,A,Gaud Sarang_3,https://youtu.be/dchgqcMKp7M?si=H1DuqOZccWrtH6BO,Vocal,F,Manjiri Kelkar,,,,,
Gaud Sarang,F,Gaud Sarang_4,https://youtu.be/vApho8HCFh4?si=_-gBkKL45gxriXa2,Vocal,M,D V Paluskar,,,,,
Gaud Sarang,D,Gaud Sarang_5,https://youtu.be/WubrSEQG36Y?si=fVhaliTFaAoT6kHi,Vocal,M,Rashid Khan,,,,,
Gaud Sarang,F,Gaud Sarang_6,https://youtu.be/dmssVlsU9vg?si=F-niD-D8w5AcEMMa,Vocal,M,Aniruddh Aithal,,,,,
Gaud Sarang,D,Gaud Sarang_7,https://youtu.be/3xptxMNlNhA?si=vSEM2FbZpk9NG_UN,Sitar,M,Purbayan Chatterjee,,,,,
Gaud Sarang,D#,Gaud Sarang_8,https://youtu.be/8Gh3J3bK0O8?si=j9VszrGjNvnR_SzY,Vocal,M,Venkatesh Kumar,,,,,
Gaud Sarang,D#,Gaud Sarang_9,https://youtu.be/FrSCKDYet3s?si=uzp-mQYK-buywxeP,Vocal,M,Kumar Mardur,,,,,
Gaud Sarang,D,Gaud Sarang_10,https://youtu.be/PEN-EeKGQk0?si=iMRPMqSNJnC5D1rj,Vocal,M,Mallikarjun Mansur,,,,,
Gauri,A#,Gauri_1,https://youtu.be/QdI2DjLdoOs?si=WyXNi80i4MIL7AXd,Vocal,F,Ashwini Bhide,,,,,
Gauri,G#,Gauri_2,https://youtu.be/a2V7Bm1gPWQ?si=k2BEf-G3jnacIPEy,Vocal,F,Manjiri Kelkar,,,,,
Gauri,C#,Gauri_3,https://youtu.be/YIEnyayjl-w?si=EfNgzEKpM2-bfg-h,Vocal,M,Gurmeet Singh,,,,,
Gauri,C#,Gauri_4,https://youtu.be/aprAWoTtVy8?si=ckJxGbV1ljv329Wo,Vocal,M,Pt. Jasraj,,,,,
Gauri,E,Gauri_5,https://youtu.be/DGEV8Yui5VI?si=Za-1ew-2sZDF7BTG,Vocal,M,Kedar Bodas,,,,,
Gauri,A#,Gauri_6,https://youtu.be/t3nXcAPO_Us?si=7IgQe7hEt1g_T-AO,Vocal,F,Ashwini Bhide,,,,,
Gauri,C#,Gauri_7,https://youtu.be/szgaHp_wYN4?si=r4honytk5mfTVUtN,Vocal,M,Sanjeev Abhyankar,,,,,
Gauri,D,Gauri_8,https://youtu.be/_qqF_-KpxtY?si=0mROpPRBNCoGwRYo,Vocal,M,Satninder Singh,,,,,
Gauri,A#,Gauri_9,https://youtu.be/c4BL5zyM0XA?si=KS5h_X3ywyLCcZrT,Vocal,F,Swarangi Marathe,,,,,
Gavati,D#,Gavati_1,https://youtu.be/OctxFgBlXPw?si=_iO1WwhiPapat3cm,Vocal,M,Venkatesh Kumar,Bazm-e-khas,,,,
Gavati,C,Gavati_2,https://youtu.be/bE1LEFfzMv0?si=d2yZ2ZrQ1E8qhTAr,Sarod,M,Abhishek Borkar,,,,,
Gavati,E,Gavati_3,https://youtu.be/mQMauYtuBwM?si=1Oi_XmMZ72UjM974,Vocal,M,Jitendra Abhisheki,,,,,
Gavati,D#,Gavati_4,https://youtu.be/vFdUHWpbscU?si=Rn5RinmHpHspvpcc,Vocal,M,Rajan Sajan Mishra,,,,,
Gavati,C#,Gavati_5,https://youtu.be/oqIlHxoI7s4?si=MlocAwpn-YhLQj2k,Vocal,M,Uday Bhawalkar,First Edition Arts Channel,,,,
Gavati,D,Gavati_6,https://youtu.be/Pc-X5ltv_wY?si=dCyqA35wtzBJ2e98,Vocal,M,Ustad Salamat Ali & Ustad Nazakat Ali,,,,,
Gavati,B,Gavati_7,https://youtu.be/rxpHNzo_FgU?si=GHtWvstIgegzV19o,Vocal,F,Monika Soni,,,,,
Gavati,D,Gavati_8,https://youtu.be/zQ5QP52lrrc?si=4J8ycEi2kX75Uj5a,Vocal,M,Mahesh Kale,,,,,
Gavati,A#,Gavati_9,https://youtu.be/YXI1rXrLKzU?si=N5er406VhvJrL1Eo,Vocal,F,Sawani Shende,Bazm-e-khas,,,,
Gavati,A#,Gavati_10,https://youtu.be/AjHzJOwl2kY?si=isjJPFvTzZQ_tSJP,Vocal,F,Veena Sahasrabuddhe,,,,,
Gopika Basant,A,Gopika Basant_1,https://youtu.be/gM1TNiKTkpQ?si=S5xft1Ej3pcnDwMX,Vocal,F,Rewa Natu,,,,,
Gopika Basant,C,Gopika Basant_2,https://youtu.be/w68H93Gd5s8?si=NNkZb7E_dY2HakC_,Vocal,M,Abhijith Shenoy,,,,,
Gopika Basant,C#,Gopika Basant_3,https://youtu.be/OWsqT8FvPW8?si=u49_AmLFvhvb5W6P,Vocal,F,Jayanta Bose,,,,,
Gopika Basant,F,Gopika Basant_4,https://youtu.be/5IXJc_4Ecik?si=TzckKxJFW__lwO8u,Flute,M,Sunder Lal Gandharv,,,,,
Gopika Basant,C#,Gopika Basant_5,https://youtu.be/ji_65YOSXNg?si=-oq2UN9GVpcgiOYP,Vocal,M,Haridutt Sharma,,,,,
Gopika Basant,C#,Gopika Basant_6,https://youtu.be/qghEFd3hPq4?si=ueN1nH_hcYsC_00I,Vocal,F,Jayanta Bose,,,,,
Gorakh Kalyan,D,Gorakh Kalyan_1,https://youtu.be/m7eULGoGmUE?si=a6ahs86SUi_8t-N7,Vocal,M,Rashid Khan,,,,,
Gorakh Kalyan,C,Gorakh Kalyan_2,https://youtu.be/Mshi-7hfKJM?si=rDb-VwRUC70-302u,Sarod,M,Soumik Datta,,,,,
Gorakh Kalyan,D#,Gorakh Kalyan_3,https://youtu.be/M3Pf6fRus1U?si=YZLsPRD-ZQ22bKa5,Vocal,M,Armaan Khan,,,,,
